Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Sparte/Farbe;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Unterkategorie;Begründung Top
06 Rühren, Kleben & Fugen;Klebstoffe;;3;AKEMI COLOUR BOND Maxi Power / +P6;https://shop.ferronato.ch/images/product/large/3887.jpg;AKEMI Colour Bond Kartusche 250 ml, vorgefärbter gelartiger 2K-Kleber auf Epoxyacrylat-Basis in über 50 Farben, hohe Klebekraft, Verarbeitungszeit ca. 5-7 Minuten, Mischungsverhältnis 10:1. Für unsichtbare Klebefugen bei Quarzkomposit und Naturstein, farbtongleich zu Composil.;Vorgefärbter 2K-Kleber für unsichtbare Fugen bei Quarzkomposit und Naturstein.;Über 50 Farben, einzeln oder in 6er-Schachtel, Preis CHF 53.00.;https://shop.ferronato.ch/de/product/3887/akemi-colour-bond-maxi-power-p6?CatID=216;Plattenleger;53.0;;;AKEMI Produkte;Starke AKEMI-Marke, häufig gebraucht für unsichtbare Klebefugen.
06 Rühren, Kleben & Fugen;Klebstoffe;;3;AKEMI PLATINUM P+ L-Spezial 170 Gramm;https://shop.ferronato.ch/images/product/large/2139.jpg;AKEMI Platinum P+ L-Spezial transparent 170 g, gelartiger, transparent-opaker Kleber auf Epoxyacrylat-Basis, hohe Klebekraft, schnelle Oberflächentrocknung. Zum Kleben und Kitten von Natur- und Kunststein auch im vertikalen Bereich, sowie zum Modellieren von Ecken und Kanten.;Schnelltrocknender 2K-Kleber für vertikale Kleb- und Kittarbeiten.;Gebindegrösse 170 g, Fachverkauf, Preis CHF 21.50.;https://shop.ferronato.ch/de/product/2139/akemi-platinum-p-l-spezial-170-gramm?CatID=216;Plattenleger;21.5;020-302;ab Lager;AKEMI Produkte;Starke AKEMI-Marke, oft benötigt für Kanten und Kittarbeiten.
06 Rühren, Kleben & Fugen;Klebstoffe;;3;KGS MS-Polymer High Tack 360;https://shop.ferronato.ch/images/product/large/4247.jpg;KGS MS-Polymer High Tack 360, Kartusche 290 ml, weiss oder schwarz. Kraftvoller Bau- und Montagekleber für schwere Materialien wie Stein und Keramik, dauerelastisch, gute Haftung auch auf feuchtem Untergrund, UV- und witterungsbeständig, keine Fleckenbildung auf Naturstein, schnelle Aushärtung von +5 bis -40 Grad.;Hochfester Montagekleber für sofortige Verklebung von Stein und Keramik.;290 ml, weiss oder schwarz, Preis CHF 14.70.;https://shop.ferronato.ch/de/product/4247/kgs-ms-polymer-high-tack-360?CatID=216;Plattenleger;14.7;;;Plattenleger (Hauptkategorie);Vielseitiger Montagekleber, häufig für Sofortverklebungen genutzt.
06 Rühren, Kleben & Fugen;Klebstoffe;;2;AKEPOX PANEL ADHESIVE 7030 2K-Kleber;https://shop.ferronato.ch/images/product/large/4300.jpg;AKEPOX Panel Adhesive 7030, 2-Komponentenkleber, cremig-standfest, grau, 3-kg-Gebinde (Comp. A 2.25 kg, Comp. B 0.75 kg), sehr schnelle Aushärtung binnen 2-4 Stunden, Mischungsverhältnis 3:1. Zur flächigen Verklebung von Dünnkeramik sowie Natur- und Kunststein auf zementbeschichteten Hartschaumplatten und Sandwich-Verklebungen.;2K-Flächenkleber für Dünnkeramik-Sandwichplatten mit schneller Aushärtung.;3-kg-Gebinde, nur für Fachanwender, Preis CHF 94.50.;https://shop.ferronato.ch/de/product/4300/akepox-panel-adhesive-7030-2k-kleber?CatID=216;Plattenleger;94.5;020-490;Nicht an Lager;AKEMI Produkte;Spezialkleber für Sandwichverklebungen, gezielter Einsatz.
06 Rühren, Kleben & Fugen;Rührwerke;1;5;FLEX R 2602 Rührmaschine;https://shop.ferronato.ch/images/product/large/5749.png;FLEX Rührmaschine R 2602, robustes Leichtmetallgehäuse, 1600 Watt, Leerlaufdrehzahl 2000/min, Gewicht 9,3 kg. Zum Mischen von Gips, Putz, Zement und Emulsionen. Set mit Adapter M20/M14, Rührstab 600 mm, INOX-Rührpropeller Ø150 mm, Zusatzhandgriff M14.;Robustes Rührwerk zum täglichen Anmischen von Mörtel und Kleber.;Inklusive Rührstab, Rührpropeller und Zusatzhandgriff.;https://shop.ferronato.ch/de/product/5749/flex-r-2602-r-hrmaschine?CatID=216;Plattenleger;1.0;050-015;ab Lager;Elektrogeräte, 230 Volt;FLEX R 2602 Rührmaschine, das meistverkaufte Rührwerk für Kleber und Mörtel.
06 Rühren, Kleben & Fugen;Rührwerke;2;5;FLEX 2-Gang Rührer Akku MXE 18.0 EC WR2 120;https://shop.ferronato.ch/images/product/large/6875.jpg;FLEX 2-Gang-Akku-Rührwerk mit bürstenlosem Motor, 3-Stufen-Schalter (reinigen/anrühren/aufrühren), Drehschalter für 2 Getriebestufen. Für Mischanwendungen bis 30 kg, mit Rührstab WR2 für Fliesenkleber, Fugenmasse und Ausgleichsmasse. 18 V, Werkzeugaufnahme M14, Gewicht 4.1 kg ohne Akku.;Kraftvolles Akku-Rührwerk für Kleber, Fugenmasse und Ausgleichsmasse.;Ohne Akku und Ladegerät, inkl. Rührstab WR2 120x600 mm.;https://shop.ferronato.ch/de/product/6875/flex-2-gang-r-hrer-akku-mxe-18-0-ec-wr2-120?CatID=216;Plattenleger;390.0;050-450;Nicht an Lager;Elektrogeräte, Mit Akku;FLEX Akku-Rührer MXE 18.0 mit WR2 120, kabelloser Nachfolger für die Baustelle.
06 Rühren, Kleben & Fugen;Rührwerke;;5;FLEX 2-Gang Rührer Akku MXE 18.0 EC/5.0 Set & WR2 120;https://shop.ferronato.ch/images/product/large/6876.jpg;FLEX 2-Gang-Akku-Rührwerk mit bürstenlosem Motor, 3-Stufen-Schalter, 2 Getriebestufen, für Mischanwendungen bis 30 kg. Mit Rührstab WR2 für Fliesenkleber, Fugenmasse und Ausgleichsmasse. Set mit 2 Akkus 5.0 Ah und Schnellladegerät, 18 V, Gewicht 4.1 kg ohne Akku.;Komplett-Set: Akku-Rührwerk inklusive Akkus und Ladegerät, sofort einsatzbereit.;Inkl. 2x 5.0-Ah-Akku, Ladegerät und Rührstab WR2, Preis CHF 670.00.;https://shop.ferronato.ch/de/product/6876/flex-2-gang-r-hrer-akku-mxe-18-0-ec-5-0-set-wr2-120?CatID=216;Plattenleger;670.0;050-448;Nicht an Lager;Elektrogeräte, Mit Akku;Kernprodukt als Komplett-Set, deckt sofortigen Bedarf ohne Zusatzkauf.
06 Rühren, Kleben & Fugen;Rührwerke;;5;FLEX MXE 1202 + WR2 140 Rührwerk;https://shop.ferronato.ch/images/product/large/7898.jpg;2-Gang-Rührwerk mit Vollwellenelektronik, Sanftanlauf und stufenloser Drehzahlregelung für Fliesenkleber, Fugenmasse, Ausgleichsmasse und Fertigputz bis 60 kg Mischanwendung. 3-Stufen-Schalter, Wiederanlaufschutz, Stossecken mit Gummipuffer. Leistungsaufnahme 1200 Watt, Werkzeugaufnahme M14, inkl. Wendelrührer WR2 140x600, Gewicht 4.8 kg.;Robustes 2-Gang-Rührwerk für Mischanwendungen bis 60 kg, inkl. Rührstab.;Inkl. Wendelrührer WR2 140, Werkzeugaufnahme M14, Preis CHF 310.00.;https://shop.ferronato.ch/de/product/7898/flex-mxe-1202-wr2-140-r-hrwerk?CatID=216;Plattenleger;310.0;050-688 1202;Nicht an Lager;Elektrogeräte, 230 Volt;Kernprodukt: Rührwerk wird von jedem Plattenleger regelmässig gebraucht.
06 Rühren, Kleben & Fugen;Rührwerke;;5;FLEX MXE 1602 + WR2 160 Rührwerk;https://shop.ferronato.ch/images/product/large/7899.jpg;2-Gang-Rührwerk mit Vollwellenelektronik, Sanftanlauf und stufenloser Drehzahlregelung für Fliesenkleber, Fugenmasse, Ausgleichsmasse und Fertigputz bis 90 kg Mischanwendung. Drehschalter zur Getriebestufenwahl je nach Viskosität, Stossecken mit Gummipuffer. Leistungsaufnahme 1600 Watt, Werkzeugaufnahme M14, inkl. Wendelrührer WR2 160x600, Gewicht 5.0 kg.;Kraftvolles 2-Gang-Rührwerk für grosse Mischmengen bis 90 kg.;Inkl. Wendelrührer WR2 160, Werkzeugaufnahme M14, Preis CHF 415.00.;https://shop.ferronato.ch/de/product/7899/flex-mxe-1602-wr2-160-r-hrwerk?CatID=216;Plattenleger;415.0;050-688 1602;ab Lager;Elektrogeräte, 230 Volt;Kernprodukt: leistungsstarkes Rührwerk für hohe Mischmengen, oft gebraucht.
06 Rühren, Kleben & Fugen;Rührwerke;;4;FLEX 2-Gang Rührer 1200 Watt MXE 1202 AKTIONSSET;https://shop.ferronato.ch/images/product/large/7244.jpg;FLEX 2-Gang-Rührwerk MXE 1202, 230 V, 1200 Watt, mit übergrossem Getriebe für Mischanwendungen bis 60 kg. 3-Stufen-Schalter, Vollwellenelektronik mit Sanftanlauf und Überlastungsschutz, mit Rührstab WR2 für Fliesenkleber, Fugenmasse und Ausgleichsmasse. Gewicht 4.8 kg.;Starkes 230-V-Rührwerk für grosse Mischmengen bis 60 kg.;Aktionsset inkl. Rührstab WR2 140x600 mm und Einmaulschlüssel, Preis CHF 289.00.;https://shop.ferronato.ch/de/product/7244/flex-2-gang-r-hrer-1200-watt-mxe-1202-aktionsset?CatID=216;Plattenleger;289.0;050-458;Nicht an Lager;Elektrogeräte, 230 Volt;Wichtiges Kernwerkzeug für grössere Anmischmengen ohne Akku-Limit.
06 Rühren, Kleben & Fugen;Rührwerke;;4;FLEX MXE 1000 + WR2 120 Rührwerk;https://shop.ferronato.ch/images/product/large/7933.jpg;1-Gang-Rührwerk mit Vollwellenelektronik, Sanftanlauf und stufenloser Drehzahlregelung für Fliesenkleber, Fugenmasse, Ausgleichsmasse und Fertigputz bis 40 kg Mischanwendung. Bewährter Standardmischer für den unteren Drehzahlbereich, Stossecken mit Gummipuffer. Leistungsaufnahme 1010 Watt, Werkzeugaufnahme M14, inkl. Wendelrührer WR2 120x600, Gewicht 4.5 kg.;Bewährter, kompakter Standardmischer für kleinere Mischmengen bis 40 kg.;Inkl. Wendelrührer WR2 120, Werkzeugaufnahme M14, Preis CHF 225.00.;https://shop.ferronato.ch/de/product/7933/flex-mxe-1000-wr2-120-r-hrwerk?CatID=216;Plattenleger;225.0;050-688 1010;Nicht an Lager;Plattenleger (Hauptkategorie);Günstiger Einstiegs-Rührwerk, häufig für kleinere Baustellen genutzt.
06 Rühren, Kleben & Fugen;Silikone & Fugenfüllstoffe;5;4;AKEMI Marmor Silikon 310ml Kartusche;https://shop.ferronato.ch/images/product/large/7430.jpg;1-Komponenten-Fugendichtstoff auf Siliconkautschukbasis für Dehnungs- und Anschlussfugen in Naturstein wie Marmor, Granit, Quarzit, Sandstein, Terrazzo. Reissfest, neutral vernetzend, keine Randzonenverfärbung, fungizid eingestellt. Auch für Nassräume und Schwimmbäder geeignet. 310 ml Kartusche, viele Farben.;Verfärbungsfreies Silikon speziell für Fugen an Naturstein wie Marmor und Granit.;310 ml Kartusche, zahlreiche Farbtöne erhältlich, Preis CHF 20.00.;https://shop.ferronato.ch/de/product/7430/akemi-marmor-silikon-310ml-kartusche?CatID=216;Plattenleger;20.0;;;AKEMI Produkte;AKEMI Marmor Silikon 310 ml, laufendes Verbrauchsmaterial für Anschlussfugen.
06 Rühren, Kleben & Fugen;Silikone & Fugenfüllstoffe;6;4;AKEMI Composil - Colour Matched Silicone;https://shop.ferronato.ch/images/product/large/1327.jpg;AKEMI Composil, luftfeuchtigkeitshärtender 1K-Fugendichtstoff auf Siliconbasis, reissfest, fungizid, für Dehnungs- und Anschlussfugen bei Naturstein, Quarzkomposit und Grosskeramik. Farbtongleich zum AKEMI Colour Matching System, 12 Monate lagerfähig.;Farbtongleicher Silikon-Dichtstoff für unsichtbare Anschlussfugen.;310 ml, einzeln oder in 20er-Schachtel, Preis CHF 35.00.;https://shop.ferronato.ch/de/product/1327/akemi-composil-colour-matched-silicone?CatID=216;Plattenleger;35.0;;;AKEMI Produkte;AKEMI Composil farbangepasstes Silikon, passt exakt zur verlegten Platte.
06 Rühren, Kleben & Fugen;Silikone & Fugenfüllstoffe;;3;AKEMI FLEXY-ZEM;https://shop.ferronato.ch/images/product/large/4215.jpg;AKEMI Flexy-Zem, luftfeuchtigkeitshärtender 1K-Fugenfüllstoff, 310 ml, auf Polymerbasis, fungizid, für innen und aussen, 12 Monate lagerfähig. Für Dehn- und Anschlussfugen bei Grosskeramik, Fliesen, Natur- und Kunststein, optisch einer zementären Fuge ähnlich, auch als Ersatz für Fugenmörtel.;Fugenfüllstoff in Zementoptik als Ersatz für klassischen Fugenmörtel.;310 ml, 5 Farben, einzeln oder in 20er-Schachtel, Preis CHF 33.60.;https://shop.ferronato.ch/de/product/4215/akemi-flexy-zem?CatID=216;Plattenleger;33.6;;;AKEMI Produkte;Häufig gebraucht für Dehnfugen bei Grossformaten und Fliesen.
06 Rühren, Kleben & Fugen;Silikone & Fugenfüllstoffe;;3;AKENOVA CLEAR 300 glasklar CC 2200 1K-Klebedichtstoff;https://shop.ferronato.ch/images/product/large/7174.jpg;AKENOVA CLEAR 300 glasklarer 1K-Klebedichtstoff auf Polyhybrid-Basis, Anfangshaftung über 80 kg/m², für Sichtfugen auf Natur- und Kunststein wie Granit, Quarzit, Sandstein und Terrazzo mit Glas, Metall oder Holz. VOC-, silikon- und isocyanatfrei, überlackierbar, für Innen- und Aussenbereich.;Transparenter, universell einsetzbarer 1K-Klebedichtstoff für Sichtfugen.;Geeignet für horizontale und vertikale Verklebungen, Preis CHF 19.70.;https://shop.ferronato.ch/de/product/7174/akenova-clear-300-glasklar-cc-2200-1k-klebedichtstoff?CatID=216;Plattenleger;19.7;020-098;ab Lager;AKEMI Produkte;Vielseitiger Klebedichtstoff für sichtbare Fugen, regelmässig eingesetzt.
07 Reinigen, Schützen & Reparieren;Auftragswerkzeuge;;1;AKEMI Impregnation Application Mob / Mikrofasermopp;https://shop.ferronato.ch/images/product/large/7248.jpg;AKEMI Mikrofasermopp, lösungsmittelfest und waschbar, Masse 48x15 cm. Für den grossflächigen Auftrag von AKEMI Imprägnierungen und Farbtonvertiefern.;Wiederverwendbarer Mopp für grossflächigen Imprägnierauftrag.;Passt zu allen AKEMI Mopphaltern, Preis CHF 15.80.;https://shop.ferronato.ch/de/product/7248/akemi-impregnation-application-mob-mikrofasermopp?CatID=216;Plattenleger;15.8;020-974;ab Lager;AKEMI Produkte;Kleines Auftragszubehör, ergänzt AKEMI-Imprägnierungen.
07 Reinigen, Schützen & Reparieren;Auftragswerkzeuge;;1;AKEMI Square Bucket 10 Liter;https://shop.ferronato.ch/images/product/large/7256.jpg;AKEMI Square Bucket, rechteckiger Multifunktions-Kunststoffeimer, lösungsmittelfest, mit ergonomischem Griff und gestaffelter Literskala. Fassungsvermögen 10 Liter, Grösse 55x24x19 cm, ideal zum Eintauchen rechteckiger Mopps.;Lösungsmittelfester Eimer für grossflächigen AKEMI-Produktauftrag.;10-Liter-Fassungsvermögen, rechteckige Form für Moppeintauchung, Preis CHF 40.00.;https://shop.ferronato.ch/de/product/7256/akemi-square-bucket-10-liter?CatID=216;Plattenleger;40.0;020-690 10;ab Lager;AKEMI Produkte;Kleines Auftragszubehör, ergänzt AKEMI-Mopps und Imprägnierungen.
07 Reinigen, Schützen & Reparieren;Auftragswerkzeuge;;1;AKEMI klappbarer Kunststoff-Mopphalter mit Fixierklipp 40x11cm;https://shop.ferronato.ch/images/product/large/7253.jpg;AKEMI klappbarer Kunststoff-Mopphalter mit Fixierclip, 40x11 cm, zur Aufnahme aller AKEMI-Mopps in Verbindung mit dem Teleskopstiel.;Praktischer Mopphalter für grossflächigen AKEMI-Produktauftrag.;Kompatibel mit Teleskopstiel und allen AKEMI-Mopps, Preis CHF 36.80.;https://shop.ferronato.ch/de/product/7253/akemi-klappbarer-kunststoff-mopphalter-mit-fixierklipp-40x11cm?CatID=216;Plattenleger;36.8;020-979 KH;ab Lager;AKEMI Produkte;Kleines Auftragszubehör, ergänzt AKEMI-Mopps.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;3;AKEMI Ceramic Smart Repair Set;https://shop.ferronato.ch/images/product/large/7257.jpg;AKEMI Ceramic Smart Repair Set im Tragekoffer, für nahezu unsichtbare Fliesenreparaturen von Kratzern und Abplatzungen auf Keramikoberflächen. 2-Schritt-Verfahren mit PLATINUM L-Spezial und 44 Colour Cards nach AKEMI Colour Matching System, inkl. Cleaner, Solvent, Spatel und Werkzeug.;Komplettset für unsichtbare Fliesenreparaturen ohne Fliesenaustausch.;44 Farbtöne, Nachkauf einzelner Bestandteile möglich, Preis CHF 925.00.;https://shop.ferronato.ch/de/product/7257/akemi-ceramic-smart-repair-set?CatID=216;Plattenleger;925.0;021-220;ab Lager;AKEMI Produkte;Hochwertiges Spezialset, wertvoll aber selten und teuer im Neukauf.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;3;AKEMI Spectrum Pastes Bonding & Repair Set;https://shop.ferronato.ch/images/product/large/3900.jpg;AKEMI Spectrum Pastes Bonding & Repair Set mit 48 Farbtuben, Colour-Chart-Farbfächer, 170 g Platinum P+ L-Spezial, 170 g Platinum P+ flüssig sowie Reinigungs- und Applikationszubehör. Zum Einfärben von Platinum P+ und weiteren AKEMI-Klebern, auch für XXL-Keramik geeignet.;Komplettes Reparatur-Set zum farbgenauen Ausbessern von Stein und Keramik.;48 Farben plus Zubehör im Koffer, Preis auf Anfrage.;https://shop.ferronato.ch/de/product/3900/akemi-spectrum-pastes-bonding-repair-set?CatID=216;Plattenleger;1.0;020-426;ab Lager;AKEMI Produkte;Umfangreiches AKEMI-Reparatursystem, gezielter, aber wiederkehrender Bedarf.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;2;AKEMI Cleaner I à 30ml - lösungsmittelhaltiger Reiniger auf Alkoholbasis;https://shop.ferronato.ch/images/product/large/7831.jpg;Lösungsmittelhaltiger Reiniger auf Alkoholbasis, nicht filmbildend, mit leicht verzögerter Ablüftung. Zum schonenden Reinigen von Keramik (Böden, Stufen, Fensterbänke, Theken, Waschtische) vor dem Reparieren. Flasche zu 30 ml, mit Literflasche nachfüllbar, nur für professionellen Gebrauch.;Reinigt Keramikoberflächen schonend als Vorbereitung für Reparaturarbeiten.;Gebinde 30 ml, mit Literflasche nachfüllbar, Preis CHF 31.00.;https://shop.ferronato.ch/de/product/7831/akemi-cleaner-i-30ml-l-sungsmittelhaltiger-reiniger-auf-alkoholbasis?CatID=216;Plattenleger;31.0;021-224;ab Lager;AKEMI Produkte;Vorbereitungsmittel für Reparaturen, gezielter Einsatz statt Alltagsartikel.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;2;AKEMI Hobel;https://shop.ferronato.ch/images/product/large/7834.jpg;Handlicher Spezialhobel zum Abtragen von Materialüberschüssen auf Oberflächenniveau von Stein oder Keramik, ohne die Glanzgradveränderung der Oberfläche. Lieferung 2 Stück.;Trägt Reparaturmaterial exakt bündig ab, ohne den Oberflächenglanz zu verändern.;Lieferung 2 Stück, Preis CHF 76.80.;https://shop.ferronato.ch/de/product/7834/akemi-hobel?CatID=216;Plattenleger;76.8;021-230;ab Lager;AKEMI Produkte;Spezialwerkzeug fürs Repair-System, bei Reparaturaufträgen wichtig.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;2;AKEMI Solvent à 50ml - Zum Anlösen der Farbe von den CERAMIC Colour Cards;https://shop.ferronato.ch/images/product/large/7830.jpg;Lösungsmittel zum Anlösen der Farbe von AKEMI Ceramic Colour Cards für Reparaturarbeiten an Keramik und Stein. Flasche zu 50 ml, nur für den professionellen Gebrauch, leicht entzündbar, Sicherheitshinweise beachten.;Löst die Farbe der Colour Cards für präzises Farbmischen bei Reparaturen.;Gebinde 50 ml, nur für professionellen Gebrauch, Preis CHF 68.50.;https://shop.ferronato.ch/de/product/7830/akemi-solvent-50ml-zum-anl-sen-der-farbe-von-den-ceramic-colour-cards?CatID=216;Plattenleger;68.5;021-222;ab Lager;AKEMI Produkte;Zubehör für das Smart-Repair-System, gezielt bei Reparaturaufträgen genutzt.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;1;AKEMI Mischglas für Lösungsmittel;https://shop.ferronato.ch/images/product/large/7833.jpg;Standfestes, wiederverschliessbares Mischgefäss aus Glas mit Deckel zum einfachen Mischen gelöster Farben. Dank Verschliessbarkeit können angemischte Farben mehrfach verwendet werden.;Wiederverschliessbares Mischglas hält angerührte Reparaturfarben länger nutzbar.;Aus Glas mit Deckel, Preis CHF 14.90.;https://shop.ferronato.ch/de/product/7833/akemi-mischglas-f-r-l-sungsmittel?CatID=216;Plattenleger;14.9;021-226;ab Lager;AKEMI Produkte;Kleinteil-Zubehör des Repair-Sets, sehr geringe Kaufhäufigkeit.
07 Reinigen, Schützen & Reparieren;Ceramic Smart Repair;;1;AKEMI Pinsel für Ceramic Smart Repair Set;https://shop.ferronato.ch/images/product/large/7832.jpg;4er-Set Pinsel Grösse 2 zum Auftragen der gelösten Farbe auf mit Platinum Maxi Power L-Spezial gefüllte Reparaturstellen im Rahmen des AKEMI Ceramic Smart Repair Systems.;Feinpinsel zum präzisen Auftragen der Reparaturfarbe auf Keramikschäden.;4 Stück, Grösse 2, Preis CHF 37.00.;https://shop.ferronato.ch/de/product/7832/akemi-pinsel-f-r-ceramic-smart-repair-set?CatID=216;Plattenleger;37.0;021-228;ab Lager;AKEMI Produkte;Kleinteil-Zubehör des Repair-Sets, sehr geringe Kaufhäufigkeit.
07 Reinigen, Schützen & Reparieren;Imprägnieren & Schützen;3;4;AKEMI Pearl Impregnator;https://shop.ferronato.ch/images/product/large/6677.jpg;Premium-Imprägnierung mit wasser-, öl- und fettabweisendem Effekt für Natur- und Kunststein wie Marmor, Kalkstein, Granit, Feinsteinzeug und Terrazzo. Für polierte, geschliffene oder raue Oberflächen, Schutzwirkung nach 10-20 Minuten, lösemittelbasiert.;Premium-Schutz gegen Wasser, Öl und Fett auf Naturstein und Feinsteinzeug.;Besonders geeignet für helle Marmor- und Kalksteinflächen, Emissionsklasse A+.;https://shop.ferronato.ch/de/product/6677/akemi-pearl-impregnator?CatID=216;Plattenleger;104.0;021-112;ab Lager;AKEMI Produkte;AKEMI Pearl Impregnator, gefragter Fleckschutz für Naturstein und Keramik.
07 Reinigen, Schützen & Reparieren;Imprägnieren & Schützen;4;3;AKEMI Farbtonvertiefer Super;https://shop.ferronato.ch/images/product/large/4065.jpg;AKEMI Farbtonvertiefer Super, Imprägnierung mit hervorragender Farbtonvertiefung, lebensmittelunbedenklich nach Aushärtung, Schutzwirkung nach 24-48 Stunden. Besonders für dunkle Steine wie Nero Assoluto geeignet, überdeckt Kratzer und Haarrisse, witterungsbeständig für innen und aussen.;Langzeit-Farbtonvertiefer speziell für dunkle Natursteine.;Gebinde 0.25, 1 und 5 Liter, ab CHF 42.00.;https://shop.ferronato.ch/de/product/4065/akemi-farbtonvertiefer-super?CatID=216;Plattenleger;42.0;;;AKEMI Produkte;AKEMI Farbtonvertiefer Super, klassischer Zusatzverkauf zur Imprägnierung.
07 Reinigen, Schützen & Reparieren;Imprägnieren & Schützen;;3;AKEMI Rapid Impregnator;https://shop.ferronato.ch/images/product/large/6197.jpg;Imprägnierung auf organischer und siliziumorganischer Basis für wasser- und schmutzabweisende Behandlung von Naturstein und Kunststein, polierte, geschliffene und raue Oberflächen. Schnelle Schutzwirkung mit Abperleffekt, für Fassaden, Denkmäler, Grabsteine. Gebrauchsfertig, 1 oder 5 Liter.;Schneller Basisschutz mit sofortigem Abperleffekt für Stein und Fassaden.;Erhältlich in 1-l- und 5-l-Gebinde, gebrauchsfertig.;https://shop.ferronato.ch/de/product/6197/akemi-rapid-impregnator?CatID=216;Plattenleger;34.6;;;AKEMI Produkte;Wichtiges Schutzprodukt, aber Nischenanwendung im Aussenbereich.
07 Reinigen, Schützen & Reparieren;Imprägnieren & Schützen;;3;AKEMI TRANSFORMER MAX;https://shop.ferronato.ch/images/product/large/4019.jpg;AKEMI Transformer Max, Imprägnierung mit extrem schneller und starker Farbtonvertiefung, lebensmittelunbedenklich nach Aushärtung, Emissionsklasse A+, Schutzwirkung nach 5-10 Minuten. Für Naturstein, Terrazzo, Betonwerkstein und Quarzkomposit, ideal zur Farbanpassung heller Kanten an resinierte dunkle Flächen.;Extrem schnell wirkende Imprägnierung mit starker Farbtonvertiefung.;Gebinde 1 Liter, Ergiebigkeit 30-50 m² pro Liter, Preis CHF 120.90.;https://shop.ferronato.ch/de/product/4019/akemi-transformer-max?CatID=216;Plattenleger;120.9;;;AKEMI Produkte;Starke AKEMI-Marke, gefragt bei sichtbaren Kanten und Arbeitsplatten.
07 Reinigen, Schützen & Reparieren;Imprägnieren & Schützen;;2;AKEMI Solid Wax;https://shop.ferronato.ch/images/product/large/3903.jpg;AKEMI Solid Wax, cremiges, schnell trocknendes Poliermittel aus hochwertigen Wachsen für horizontale und vertikale Oberflächen wie Fensterbänke, Fliesen, Ecken und Kanten aus feingeschliffenem oder poliertem Naturstein. Erzeugt lang anhaltenden Glanz, schliesst feine Kratzer, vertieft Farbe und Struktur.;Wachspolitur für dauerhaften Glanz auf Natur- und Kunststein.;Gebinde 900 ml, transparent oder schwarz, Preis CHF 30.90.;https://shop.ferronato.ch/de/product/3903/akemi-solid-wax?CatID=216;Plattenleger;30.9;;;AKEMI Produkte;Nützliche Politur, aber kein täglicher Massenbedarf.
07 Reinigen, Schützen & Reparieren;Reiniger;1;4;AKEMI Reiniger A 1lt;https://shop.ferronato.ch/images/product/large/622.jpg;Lösungsmittelhaltiger Reiniger auf Ketonbasis, schnell ablüftend, nicht filmbildend, CKW-frei. Entfernt nicht ausgehärtete Klebstoff- und Dichtungsmassenreste von Naturstein, Kunststein, Fliesen, Keramik, Glas, Klinker, Email und Metall. Nicht für Kunststoffe und lackierte Flächen. Nur für gewerbliche Fachanwender.;Entfernt zuverlässig frische Kleber- und Silikonreste vor dem Aushärten.;1-l-Gebinde, nur für gewerbliche Anwender im Verkauf.;https://shop.ferronato.ch/de/product/622/akemi-reiniger-a-1lt?CatID=216;Plattenleger;28.5;020-738;ab Lager;AKEMI Produkte;AKEMI Reiniger A 1 l, meistverkaufter Grundreiniger nach dem Verlegen.
07 Reinigen, Schützen & Reparieren;Reiniger;2;4;AKEMI ACID Cleaner;https://shop.ferronato.ch/images/product/large/3886.jpg;AKEMI Acid Cleaner, ehemals Ceramics Zementschleierentferner, konzentriertes Reinigungsmittel auf Basis organischer Säuren, keine korrosiven Dämpfe, lösungsmittelfrei, biologisch abbaubar. Entfernt Zement-, Mörtel- und Kalkreste sowie Fugenmörtelreste auf säurebeständigem Feinsteinzeug, Naturstein, Klinker und Keramik, nicht für Kalkstein geeignet.;Säurehaltiger Reiniger für hartnäckige Zement- und Fugenreste.;Gebinde 1 oder 5 Liter, nur für Fachanwender, ab CHF 24.20.;https://shop.ferronato.ch/de/product/3886/akemi-acid-cleaner?CatID=216;Plattenleger;24.2;;;AKEMI Produkte;AKEMI ACID Cleaner gegen Zementschleier, Standard bei der Bauschlussreinigung.
